sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-A2-A0D3-01	TCGA-A2-A0D3-01	Primary Tumor	1.513	-0.5079	-0.1017	-0.8165	-2.499	-1.29	0.6315	-0.2014	1.863	0.001341	0.1924	10.1	0.4735	0.5745
TCGA-PL-A8LY-01	TCGA-PL-A8LY-01	Primary Tumor	1.505	-0.1056	-0.02104	0.5865	-2.236	-3.254	-0.2532	0.202	2.219	-0.02716	-0.595	10.35	0.2843	-0.2507
TCGA-A2-A0T5-01	TCGA-A2-A0T5-01	Primary Tumor	1.485	0.5721	-0.3358	-0.648	-2.041	-0.02271	0.299	-0.2432	1.309	0.2712	0.2463	10.45	0.1875	0.4535
TCGA-BH-A0B3-01	TCGA-BH-A0B3-01	Primary Tumor	1.472	0.8573	-0.07144	0.3715	0.455	2.193	0.4214	-0.09492	1.23	0.4694	-1.997	10.22	0.1351	-0.3941
TCGA-BH-A18G-01	TCGA-BH-A18G-01	Primary Tumor	1.423	-1.349	0.1797	1.224	-2.03	3.643	-1.283	-1.224	1.296	-0.7507	-0.1788	9.952	-0.2918	-0.89
TCGA-B6-A0RT-01	TCGA-B6-A0RT-01	Primary Tumor	1.382	-0.7407	0.332	-0.2035	-0.2411	0.7696	0.3889	-0.2019	1.286	-0.2111	-0.3758	9.908	0.1743	-0.6313
TCGA-E9-A249-01	TCGA-E9-A249-01	Primary Tumor	1.368	1.243	-0.2402	-0.987	-4.119	-2.916	0.4154	-0.1139	0.8693	-0.1641	-0.4487	10.22	0.4198	0.3671
TCGA-BH-A0DG-01	TCGA-BH-A0DG-01	Primary Tumor	1.36	-0.7304	-0.2484	-0.403	-1.55	-0.3143	-0.0512	-0.7097	3.238	-0.09026	-0.2663	9.439	0.08402	-0.1865
TCGA-B6-A0RM-01	TCGA-B6-A0RM-01	Primary Tumor	1.321	0.6506	0.04696	0.2547	-2.747	6.421	0.186	0.1281	1.629	-0.4607	-0.2053	10.38	0.192	-0.09924
TCGA-C8-A12U-01	TCGA-C8-A12U-01	Primary Tumor	1.283	0.4164	0.7862	-0.5848	-4.587	-2.054	0.4172	0.04738	3.505	-0.1559	-0.5937	9.999	-0.2742	-0.42
TCGA-E2-A15J-01	TCGA-E2-A15J-01	Primary Tumor	1.267	0.4674	-0.3746	-0.04805	0.2991	-1.785	0.5552	-0.1186	1.025	0.3591	0.2952	9.827	0.05152	0.5795
TCGA-BH-A0E0-01	TCGA-BH-A0E0-01	Primary Tumor	1.242	0.1747	-0.3532	-0.6225	-1.977	-1.472	-0.048	-0.5283	2.076	-0.7982	-2.093	10.02	-0.3021	-0.7927
TCGA-AR-A24X-01	TCGA-AR-A24X-01	Primary Tumor	1.238	0.8218	-0.1041	-1.168	-1.576	-0.3689	1.078	-0.1849	-2.573	-0.09496	0.82	9.735	0.455	0.9942
TCGA-S3-A6ZG-01	TCGA-S3-A6ZG-01	Primary Tumor	1.205	1.515	0.2064	-0.1984	0.09464	-2.085	0.7118	-0.2976	-2.576	0.03654	-0.3194	10.58	0.4515	0.5696
TCGA-A7-A0CE-01	TCGA-A7-A0CE-01	Primary Tumor	1.198	1.702	0.1626	-0.7074	-0.5232	2.304	0.4917	-0.4233	2.059	-0.4825	-1.854	8.089	0.4957	0.8206
TCGA-BH-A18M-01	TCGA-BH-A18M-01	Primary Tumor	1.188	0.6511	-0.09824	-0.7539	-2.483	0.8781	0.7294	-0.1524	1.435	0.2598	0.3596	10.02	0.2505	0.3442
TCGA-A2-A25C-01	TCGA-A2-A25C-01	Primary Tumor	1.184	1.773	0.02336	-1.246	-3.136	0.9499	1.789	-0.2552	3.166	-0.6875	1.4	9.365	-0.07348	1.261
TCGA-A2-A0T0-01	TCGA-A2-A0T0-01	Primary Tumor	1.184	0.8243	0.6426	-0.03215	-0.7586	3.668	0.3923	-0.3231	1.501	-0.7198	0.06715	9.999	0.2992	-0.3315
