sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-C8-A1HE-01	TCGA-C8-A1HE-01	Primary Tumor	0.4605	0.8755	-0.4354	-0.5493	-0.2852	-2.203	1.145	-0.2331	1.906	-0.118	0.7102	9.356	-0.2131	0.9427
TCGA-D8-A73X-01	TCGA-D8-A73X-01	Primary Tumor	0.4559	-0.09709	0.07746	-0.504	-0.9134	4.143	0.2715	0.1492	1.524	0.1565	0.03245	10.19	0.3317	0.135
TCGA-A2-A0YK-01	TCGA-A2-A0YK-01	Primary Tumor	0.4555	-0.5039	-0.2643	-0.5096	-1.971	-0.03511	1.266	-0.3231	0.4906	-0.02336	0.6929	9.811	0.2628	0.4989
TCGA-BH-A0HI-01	TCGA-BH-A0HI-01	Primary Tumor	0.4483	0.09521	-0.3547	-0.55	-1.666	0.8189	0.8872	-0.3035	2.048	0.09714	0.6273	10.06	-0.1905	0.1828
TCGA-AC-A3YJ-01	TCGA-AC-A3YJ-01	Primary Tumor	0.4471	-1.256	-0.1358	0.1876	-0.1035	-1.707	-0.6865	0.2847	1.683	-0.5435	-0.107	10.48	-0.4291	-0.8705
TCGA-BH-A0BQ-01	TCGA-BH-A0BQ-01	Primary Tumor	0.4464	-0.05919	-0.5309	-0.1399	-2.27	1.111	0.003099	0.005982	1.178	0.09784	-0.1454	10.35	0.03182	0.1603
TCGA-E2-A1B4-01	TCGA-E2-A1B4-01	Primary Tumor	0.4462	-1.575	-0.6104	-0.01355	-1.466	-2.641	0.033	-0.02842	1.632	-0.1151	-0.3522	10.24	-0.1624	-0.1196
TCGA-E2-A1L6-01	TCGA-E2-A1L6-01	Primary Tumor	0.4406	0.3707	0.02576	-0.3761	-1.13	0.798	0.8556	-0.4005	1.907	-0.2934	0.5263	9.421	0.397	0.7415
TCGA-AR-A255-01	TCGA-AR-A255-01	Primary Tumor	0.4281	1.179	0.2502	-0.258	0.4741	-0.2849	0.7139	-0.6916	2.344	-0.4913	0.4932	9.461	-0.2694	1.038
TCGA-LD-A7W6-01	TCGA-LD-A7W6-01	Primary Tumor	0.4229	0.4042	0.2522	-0.7067	-0.9155	-1.546	0.4243	0.08608	0.3427	0.328	0.3394	10.38	0.5133	0.1328
TCGA-E2-A14Q-01	TCGA-E2-A14Q-01	Primary Tumor	0.4229	-0.4616	-0.3265	-0.6334	-1.111	-1.521	0.4125	-0.2335	2.355	0.3088	0.2767	10.18	-0.295	-0.1888
TCGA-EW-A1P7-01	TCGA-EW-A1P7-01	Primary Tumor	0.4217	-0.4007	-0.4415	0.4981	-0.116	2.808	0.5794	-0.3283	0.9332	0.02414	-0.5901	10.3	0.001218	-0.1634
TCGA-EW-A1OV-01	TCGA-EW-A1OV-01	Primary Tumor	0.415	0.4156	-0.05094	0.129	-2.288	0.1379	0.1692	-0.4357	-2.592	0.07404	-0.2961	10.21	-0.7715	-0.4527
TCGA-E2-A10C-01	TCGA-E2-A10C-01	Primary Tumor	0.4094	0.4229	0.007859	0.03275	-3.809	-0.6137	-0.5128	-0.6315	1.683	-1.049	-0.6747	10.19	-1.05	-0.2837
TCGA-B6-A0WV-01	TCGA-B6-A0WV-01	Primary Tumor	0.4076	1.669	0.3085	0.194	0.04794	-1.052	1.088	0.02768	3.185	-0.4317	0.08535	9.649	0.03132	0.3518
TCGA-AR-A1AT-01	TCGA-AR-A1AT-01	Primary Tumor	0.406	1.081	0.02376	0.3099	-0.5637	6.02	0.5366	0.09508	-2.371	-0.09166	0.5277	10.26	-0.4331	0.3915
TCGA-C8-A26X-01	TCGA-C8-A26X-01	Primary Tumor	0.405	-0.2652	-0.2527	0.9665	-1.029	1.715	0.2763	-0.1313	2.219	-0.6636	-0.2234	9.924	-0.5775	-0.4455
TCGA-BH-A0E1-01	TCGA-BH-A0E1-01	Primary Tumor	0.3976	1.341	-0.3937	-0.07585	-1.194	-1.064	0.7476	-0.2619	1.425	-0.01336	0.2414	10.07	0.01942	0.5953
TCGA-EW-A1P0-01	TCGA-EW-A1P0-01	Primary Tumor	0.3975	0.7773	-0.6458	-0.2569	-2.597	7.837	0.8857	-0.09212	2.491	-0.03456	0.737	10.05	0.006618	0.564
TCGA-BH-A42V-01	TCGA-BH-A42V-01	Primary Tumor	0.3965	-0.6866	0.07626	0.3623	-2.915	-0.9102	-0.0958	0.2886	1.611	0.4501	-0.3823	10.92	0.2239	-0.283
TCGA-E9-A1RE-01	TCGA-E9-A1RE-01	Primary Tumor	0.3884	1.657	0.1601	-0.645	-3.66	-0.6095	0.8811	-0.06122	2.212	-0.8491	0.4531	9.454	-0.02228	1.064
TCGA-B6-A0WW-01	TCGA-B6-A0WW-01	Primary Tumor	0.3853	0.4189	-0.5053	-1.18	-1.446	1.382	-0.1464	-1.171	2.551	-0.5491	-0.5778	9.92	-0.423	0.4889
TCGA-BH-A1EO-01	TCGA-BH-A1EO-01	Primary Tumor	0.3849	0.5551	-0.3715	-0.7491	-1.829	3.177	0.9441	-0.3844	2.502	-0.25	0.8156	9.343	0.1378	0.8935
TCGA-BH-A0DV-01	TCGA-BH-A0DV-01	Primary Tumor	0.3794	-0.5607	-1.145	-0.5673	-2.56	2.057	0.5395	-0.3077	1.636	0.1528	0.1902	9.589	0.2141	0.1493
TCGA-A2-A0YI-01	TCGA-A2-A0YI-01	Primary Tumor	0.3794	-0.71	-0.1441	-0.2075	-1.83	-0.7249	0.8952	-0.464	2.658	-0.3805	0.4994	9.56	-0.007882	0.6806
TCGA-XX-A899-01	TCGA-XX-A899-01	Primary Tumor	0.377	0.02911	0.2345	-0.1524	-0.3551	4.292	0.3256	0.1088	-1.892	0.3307	0.4619	10.19	0.2055	0.2908
TCGA-BH-A0DP-01	TCGA-BH-A0DP-01	Primary Tumor	0.3726	0.2946	-0.594	-0.7556	-1.936	4.355	0.2254	-0.162	0.6105	0.03364	0.07975	9.943	0.6057	0.5792
TCGA-E9-A228-01	TCGA-E9-A228-01	Primary Tumor	0.3706	2.048	-0.1449	-0.2359	-0.9706	0.4259	0.2704	-0.7369	3.512	-0.6602	1.125	9.672	0.2708	-0.02824
TCGA-A1-A0SG-01	TCGA-A1-A0SG-01	Primary Tumor	0.3675	0.2094	-0.5732	-0.67	-4.746	0.5119	0.4947	-0.04062	2.161	-0.01996	0.2567	10.4	-0.1259	0.3293
TCGA-OL-A66J-01	TCGA-OL-A66J-01	Primary Tumor	0.3646	-0.699	0.2119	0.7479	-2.028	0.07019	0.1679	0.2583	-1.955	-0.07586	-0.193	10.89	0.2129	-0.3928
TCGA-LL-A6FP-01	TCGA-LL-A6FP-01	Primary Tumor	0.3642	-2.169	-0.2401	-1.028	-2.623	-3.254	-0.537	0.5975	-3.012	-0.3761	-1.638	10.36	-0.6966	-1.785
TCGA-E9-A1R4-01	TCGA-E9-A1R4-01	Primary Tumor	0.3631	1.208	-0.2934	-1.432	-2.82	-1.495	-0.002301	-0.3172	1.748	-0.3861	0.3475	9.969	0.08832	0.4846
TCGA-OL-A5RY-01	TCGA-OL-A5RY-01	Primary Tumor	0.3621	-0.5149	0.3113	0.3993	-0.4565	3.856	-0.6436	-0.5	1.9	-0.5379	-0.07845	10.42	-0.2951	-0.9237
TCGA-D8-A4Z1-01	TCGA-D8-A4Z1-01	Primary Tumor	0.3603	-0.5856	0.01556	-0.01015	-1.911	-0.5211	0.5128	0.1805	1.749	0.9382	0.02495	10.47	0.2961	0.2308
TCGA-B6-A0WS-01	TCGA-B6-A0WS-01	Primary Tumor	0.3597	1.167	-0.4325	-0.3513	-0.8864	5.563	-0.0527	-0.4295	2.423	-0.04786	-0.4015	10.02	0.8531	0.4594
TCGA-PE-A5DD-01	TCGA-PE-A5DD-01	Primary Tumor	0.3587	-0.7598	-0.1096	-0.3166	-1.775	0.9861	0.3331	0.3938	-2.072	0.639	-1.037	10.28	-1.072	-0.7807
TCGA-AR-A0TZ-01	TCGA-AR-A0TZ-01	Primary Tumor	0.3579	2.389	-0.1384	-0.62	-2.187	-0.2217	0.6699	-0.5418	3.039	-0.232	-0.07235	10.63	0.7957	0.961
TCGA-E2-A10F-01	TCGA-E2-A10F-01	Primary Tumor	0.3514	0.5999	-0.2062	-0.8504	-1.061	0.9222	0.6587	0.006782	-3.356	0.2727	0.571	10.18	0.2612	0.1981
TCGA-B6-A0IH-01	TCGA-B6-A0IH-01	Primary Tumor	0.351	-0.7352	-0.6613	-0.2794	-2.232	-0.6763	0.661	-0.3978	1.982	0.3477	0.2428	10.4	0.4509	0.2401
TCGA-AO-A12E-01	TCGA-AO-A12E-01	Primary Tumor	0.3488	1.643	-0.3048	-1.21	-1.242	-3.254	0.7739	-0.3579	0.9117	-0.1514	0.08675	9.702	-0.358	0.5778
TCGA-D8-A1XV-01	TCGA-D8-A1XV-01	Primary Tumor	0.3458	1.045	-0.2712	0.5477	2.033	7.674	0.7655	-0.2877	2.088	-0.7035	0.9089	9.017	0.4571	0.863
TCGA-A2-A0EN-01	TCGA-A2-A0EN-01	Primary Tumor	0.3413	-0.5116	0.08006	-0.1406	-1.944	0.5413	0.3243	-0.2404	-2.474	-0.02736	0.3259	9.887	-0.3242	0.2518
TCGA-E2-A1IK-01	TCGA-E2-A1IK-01	Primary Tumor	0.3412	-0.3987	-0.4152	0.5139	0.4654	7.694	-0.2147	-0.3046	2.558	-0.2421	0.06175	10.16	0.1471	-0.09754
TCGA-E9-A1RD-01	TCGA-E9-A1RD-01	Primary Tumor	0.341	0.5842	-0.3008	-0.9084	0.8218	-0.6957	0.9047	-0.4996	2.487	-0.4428	0.446	9.258	0.5713	0.6639
TCGA-A2-A0CV-01	TCGA-A2-A0CV-01	Primary Tumor	0.3386	-1.596	-0.9941	-0.2007	-2.144	-2.89	0.4493	0.2269	1.513	0.2568	-0.4214	9.964	0.1289	-0.2722
TCGA-D8-A1X6-01	TCGA-D8-A1X6-01	Primary Tumor	0.3379	1.275	-0.3695	0.4751	0.8611	-0.05771	0.2266	-0.1596	1.181	-0.6742	0.3207	9.908	0.07312	-0.2398
TCGA-BH-A1ET-01	TCGA-BH-A1ET-01	Primary Tumor	0.3359	0.1105	-0.2816	-1.222	-2.29	-0.7336	1.562	-0.5255	2.036	-0.5064	0.9771	9.097	0.5851	0.927
TCGA-BH-A1EW-01	TCGA-BH-A1EW-01	Primary Tumor	0.3349	1.384	0.06136	-0.2738	0.774	3.587	0.7343	-0.6741	2.183	-0.1003	-0.4382	9.146	0.3721	1.483
TCGA-BH-A18P-01	TCGA-BH-A18P-01	Primary Tumor	0.3349	0.9986	-0.2886	0.191	0.6529	-0.8221	0.8565	-0.6509	-0.8775	-0.2212	0.896	9.442	0.3795	0.9407
TCGA-LL-A73Z-01	TCGA-LL-A73Z-01	Primary Tumor	0.324	-0.2323	-0.05814	0.7021	-1.59	-2.709	-0.1694	0.121	1.287	-0.2788	-0.03825	10.22	-0.01308	-0.8387
TCGA-AR-A1AK-01	TCGA-AR-A1AK-01	Primary Tumor	0.321	1.139	0.01236	-0.295	0.2109	-0.945	0.4158	-0.1271	1.223	0.05754	0.2581	9.184	0.1423	1.059
TCGA-AR-A1AL-01	TCGA-AR-A1AL-01	Primary Tumor	0.319	0.5487	-0.3112	-0.2323	-0.9648	-3.254	1.19	-0.2468	0.6727	0.2203	0.6398	9.337	0.43	0.8153
TCGA-E2-A1IL-01	TCGA-E2-A1IL-01	Primary Tumor	0.3188	-0.1223	-0.4087	-1.208	-2.114	-0.6581	1.227	0.06558	1.872	0.3683	-0.4678	9.736	0.3826	0.897
TCGA-AC-A23E-01	TCGA-AC-A23E-01	Primary Tumor	0.3113	0.2642	-0.6746	-0.6179	-1.018	3.3	1.02	-0.3911	2.255	-0.4925	0.629	9.431	0.3023	0.9027
TCGA-D8-A27V-01	TCGA-D8-A27V-01	Primary Tumor	0.304	-0.7612	-0.3642	-0.03285	-0.6526	-3.254	0.9373	-0.5262	1.179	-0.453	-0.3088	9.615	0.3126	0.115
TCGA-A2-A0CK-01	TCGA-A2-A0CK-01	Primary Tumor	0.2961	-0.2172	0.2733	0.3737	-4.23	4.165	0.4147	0.3813	-1.75	0.6068	-0.1341	10.86	0.5165	-0.2497
TCGA-E9-A54Y-01	TCGA-E9-A54Y-01	Primary Tumor	0.2938	1.211	0.5072	1.258	-4.739	-3.254	-1.258	0.3989	1.285	-0.6298	-1.785	11.51	-0.838	-0.6964
TCGA-E9-A24A-01	TCGA-E9-A24A-01	Primary Tumor	0.2925	0.2459	0.05456	-0.893	0.6241	-0.2182	0.9871	-0.5127	1.414	-0.7117	1.056	8.913	0.4679	1.041
TCGA-GM-A2DA-01	TCGA-GM-A2DA-01	Primary Tumor	0.2897	-1.289	0.1739	0.1533	-1.86	-1.588	-0.2154	-0.1952	0.3747	0.05144	0.3847	9.545	-0.1096	-0.7568
TCGA-A2-A0SY-01	TCGA-A2-A0SY-01	Primary Tumor	0.288	-0.5296	0.141	-0.5151	-1.849	3.986	0.8381	-0.08452	-1.129	0.1869	0.5311	10.34	0.3205	0.2977
TCGA-E2-A14O-01	TCGA-E2-A14O-01	Primary Tumor	0.2875	0.9507	-0.2285	0.09265	-1.996	0.5357	0.1944	-0.8109	2.399	-1.212	-0.5942	9.854	-1.051	-0.362
TCGA-GM-A2DM-01	TCGA-GM-A2DM-01	Primary Tumor	0.2831	-0.08919	-0.6379	0.1617	0.7125	-1.521	0.3629	0.2161	1.461	0.2584	0.5074	10.1	0.5657	0.6247
TCGA-A2-A0T6-01	TCGA-A2-A0T6-01	Primary Tumor	0.2777	-0.4939	-0.443	-1.363	-1.454	1.683	0.8869	0.004982	0.2235	0.4198	0.7387	9.868	0.4824	0.8976
TCGA-PE-A5DC-01	TCGA-PE-A5DC-01	Primary Tumor	0.2762	0.687	0.4629	0.07095	-2.264	-1.6	-0.5789	-0.4486	2.284	-0.7415	-0.3184	11.21	-0.7554	-0.2833
TCGA-E9-A1R6-01	TCGA-E9-A1R6-01	Primary Tumor	0.276	1.294	-0.2642	-0.2199	1.394	0.4104	0.1232	0.3754	2.363	-0.02486	-0.7287	10.14	-1.307	0.2379
TCGA-E2-A1IH-01	TCGA-E2-A1IH-01	Primary Tumor	0.2718	0.3369	0.4423	-0.6901	-1.013	3.178	0.9023	-0.4361	-2.617	-0.7793	0.8781	8.443	0.2995	0.6873
TCGA-E9-A227-01	TCGA-E9-A227-01	Primary Tumor	0.2692	0.1205	-0.3561	-0.3162	-0.5561	1.267	0.4845	-0.211	1.267	-0.4304	0.1871	9.856	0.03792	0.1343
TCGA-E2-A105-01	TCGA-E2-A105-01	Primary Tumor	0.2673	1.569	0.6114	-0.6127	-3.86	1.736	1.173	0.1767	2.736	-0.03026	0.2056	10.61	0.4097	0.9828
TCGA-EW-A1IX-01	TCGA-EW-A1IX-01	Primary Tumor	0.2625	-0.2493	-0.3196	-0.9551	-1.53	1.148	0.9166	0.1791	2.82	0.2614	0.446	9.976	0.369	0.9482
TCGA-C8-A132-01	TCGA-C8-A132-01	Primary Tumor	0.2602	0.09501	-0.3176	-0.3787	-0.4197	-0.8621	1.322	0.1864	3.15	-0.08996	0.6128	9.698	-0.2571	1.185
TCGA-BH-A0W4-01	TCGA-BH-A0W4-01	Primary Tumor	0.2597	0.3684	-0.1424	-0.6256	-0.9828	0.3935	1.022	0.2101	2.322	0.5018	0.3752	10.22	0.1654	0.9856
TCGA-EW-A1PD-01	TCGA-EW-A1PD-01	Primary Tumor	0.2587	2.028	0.2827	0.08985	0.258	-2.244	0.1801	-0.4026	3.417	0.33	-0.8756	10.27	0.3919	1.086
TCGA-E2-A153-01	TCGA-E2-A153-01	Primary Tumor	0.2556	-0.349	-0.6932	-0.4302	-1.717	1.538	0.1063	-0.1678	1.49	0.2748	0.1531	10.11	-0.121	0.4789
TCGA-D8-A1XC-01	TCGA-D8-A1XC-01	Primary Tumor	0.2551	0.2585	-0.5936	-0.1488	1.988	8.008	0.9798	-0.2137	2.731	0.2258	0.6352	9.764	0.7251	1.042
TCGA-BH-A8G0-01	TCGA-BH-A8G0-01	Primary Tumor	0.2506	-0.764	0.04786	-0.1668	-2.264	1.181	0.3501	0.05648	-0.3975	0.5613	-0.2921	10.48	0.2164	-0.05924
TCGA-AC-A3HN-01	TCGA-AC-A3HN-01	Primary Tumor	0.2504	0.282	-0.1957	-0.538	-2.947	0.06169	0.5475	0.09938	-1.447	0.4568	0.2219	10.26	0.1885	0.3571
TCGA-C8-A1HI-01	TCGA-C8-A1HI-01	Primary Tumor	0.2497	-0.5022	-0.441	-0.5035	-2.251	-2.652	0.1025	-0.09952	1.84	-0.4361	-0.1085	9.742	-0.184	0.04046
TCGA-A7-A26E-01	TCGA-A7-A26E-01	Primary Tumor	0.2491	0.568	-0.1276	-1.51	2.593	2.689	2.029	-0.2696	1.177	-0.2959	0.9496	9.039	0.8289	1.268
TCGA-4H-AAAK-01	TCGA-4H-AAAK-01	Primary Tumor	0.242	0.4225	0.1524	0.03045	-1.242	-0.4551	0.1283	0.2767	-2.023	0.2191	-0.2109	9.676	-0.01698	0.3534
TCGA-AR-A24M-01	TCGA-AR-A24M-01	Primary Tumor	0.2406	0.8073	-0.3824	-0.8796	-1.473	-0.592	1.59	-0.672	3.121	-0.4643	0.8121	9.026	0.7988	1.231
TCGA-AR-A250-01	TCGA-AR-A250-01	Primary Tumor	0.238	1.458	0.08256	-0.3074	-1.816	1.309	1.102	-0.1544	3.646	-0.1578	0.4897	9.451	-0.2403	0.491
TCGA-D8-A1XU-01	TCGA-D8-A1XU-01	Primary Tumor	0.2374	-0.5021	-0.4493	-0.5715	-1.495	0.6298	0.169	-0.7868	3.478	-0.03466	0.08525	9.76	-0.3726	0.3859
TCGA-AQ-A7U7-01	TCGA-AQ-A7U7-01	Primary Tumor	0.2364	-0.2121	0.001359	-0.3724	-2.27	2.327	0.5178	0.1092	-2.189	0.3715	0.1389	10.19	0.3012	0.1154
TCGA-BH-A1EU-01	TCGA-BH-A1EU-01	Primary Tumor	0.236	0.06461	-0.1608	-0.6097	-0.7013	-0.9541	1.241	-0.5061	1.272	-0.5894	0.7457	8.934	0.939	0.9063
TCGA-C8-A1HO-01	TCGA-C8-A1HO-01	Primary Tumor	0.236	0.006215	-0.5251	0.7835	-1.884	-0.4118	0.8205	0.006882	2.927	-0.4441	-0.4178	9.55	1.557	-0.239
TCGA-A2-A0SU-01	TCGA-A2-A0SU-01	Primary Tumor	0.2341	0.1889	-0.6771	-1.211	-1.604	0.2487	0.263	-0.1674	1.569	0.01474	-0.1397	9.952	0.4481	0.5346
TCGA-5L-AAT0-01	TCGA-5L-AAT0-01	Primary Tumor	0.231	-0.5005	0.01556	0.4528	-0.8433	3.882	-0.4318	0.311	1.022	0.2201	-0.2214	10.94	0.04442	-0.2157
TCGA-E2-A14W-01	TCGA-E2-A14W-01	Primary Tumor	0.2309	0.7001	0.5551	-0.1464	1.786	-2.689	-0.3307	-0.9795	1.847	-1.025	-0.3719	9.483	0.09292	0.2646
TCGA-BH-A0DH-01	TCGA-BH-A0DH-01	Primary Tumor	0.2304	0.4235	-0.6245	-1.054	-2.097	-1.929	-0.4211	-0.8065	2.124	-0.47	-0.3126	9.98	-0.4864	-0.02224
TCGA-BH-A0E9-01	TCGA-BH-A0E9-01	Primary Tumor	0.2299	0.1784	-0.5045	-0.5398	-1.556	-1.784	0.6555	-0.7582	0.3894	0.1865	-0.04715	10.02	0.4349	0.7478
TCGA-OL-A5RZ-01	TCGA-OL-A5RZ-01	Primary Tumor	0.2282	-0.5984	0.4718	0.204	-2.047	-1.229	-0.4804	-0.4656	2.942	-0.1021	-0.8716	11.21	-0.4585	-1.402
TCGA-D8-A145-01	TCGA-D8-A145-01	Primary Tumor	0.2278	0.1898	-0.4323	-0.1252	0.624	-1.867	0.7009	-0.4727	2.384	0.7106	-0.01725	10.28	0.2676	0.7721
TCGA-E2-A14T-01	TCGA-E2-A14T-01	Primary Tumor	0.2273	1.365	-0.1372	-0.8908	-1.936	-0.908	0.9417	0.2313	3.571	-0.169	-0.4245	10.16	0.2448	0.6935
TCGA-B6-A0X4-01	TCGA-B6-A0X4-01	Primary Tumor	0.2268	0.1206	-0.4139	0.288	0.2655	-1.271	0.3334	-0.2801	2.188	0.3463	0.3142	9.737	0.3675	0.5
TCGA-OL-A66O-01	TCGA-OL-A66O-01	Primary Tumor	0.2175	0.6377	0.5365	1.008	-5.684	-2.807	-0.4804	0.4383	2.32	0.1969	-1.653	11.99	-0.3755	-1.359
TCGA-A7-A425-01	TCGA-A7-A425-01	Primary Tumor	0.2147	0.04061	0.1795	-0.1003	-4.439	-2.473	0.0639	0.3865	-0.6686	0.6312	-0.8748	10.99	-0.5414	-1.147
TCGA-XX-A89A-01	TCGA-XX-A89A-01	Primary Tumor	0.2113	-0.492	-0.01034	0.04005	-2.057	2.805	0.295	0.03318	-2.107	0.3151	-0.07145	10.14	-0.1737	-0.4338
TCGA-D8-A27T-01	TCGA-D8-A27T-01	Primary Tumor	0.2106	0.291	-0.5947	-0.2215	-1.408	4.337	1.148	0.01538	-2.461	0.01874	0.3538	9.945	0.2845	0.4705
TCGA-E9-A1R2-01	TCGA-E9-A1R2-01	Primary Tumor	0.21	0.9857	0.2477	-0.8594	-0.4831	0.3902	-0.1586	-0.6375	2.983	-0.2628	-0.2782	9.745	0.8803	1.032
TCGA-A7-A4SC-01	TCGA-A7-A4SC-01	Primary Tumor	0.2071	-0.4233	-0.04764	-0.8196	1.332	-2.597	0.234	0.3406	-1.602	0.5964	0.3522	10.59	-0.03458	0.4765
TCGA-BH-A0AZ-01	TCGA-BH-A0AZ-01	Primary Tumor	0.2016	-0.05659	-0.4738	-0.2588	-1.981	1.469	-0.0924	-0.5473	1.914	0.06514	-0.2837	9.746	-0.2314	0.5343
TCGA-A2-A4S2-01	TCGA-A2-A4S2-01	Primary Tumor	0.1967	-0.3656	-0.4499	-0.1553	-0.8569	-1.462	0.0176	-0.01252	1.715	0.6909	-0.2542	10.63	-0.2508	-0.1739
TCGA-AR-A252-01	TCGA-AR-A252-01	Primary Tumor	0.1918	0.1674	-0.1143	-0.7564	-1.164	0.9774	1.324	-0.6582	3.435	-0.8959	0.776	8.503	0.3025	1.078
TCGA-LD-A9QF-01	TCGA-LD-A9QF-01	Primary Tumor	0.191	0.8857	0.1658	0.6869	-1.14	2.36	0.0373	0.165	0.9128	0.1347	-0.07795	10.43	-0.5938	-1.035
TCGA-A1-A0SE-01	TCGA-A1-A0SE-01	Primary Tumor	0.1858	0.7565	-0.3667	-0.7977	-1.033	-1.53	0.7923	-0.171	2.004	0.1158	0.08715	9.965	0.3901	0.6708
TCGA-S3-AA12-01	TCGA-S3-AA12-01	Primary Tumor	0.1796	0.3555	-0.401	-0.1708	-0.559	-2.268	-0.0596	0.2548	1.33	0.266	-0.7206	10.55	0.01272	-0.2643
TCGA-E2-A56Z-01	TCGA-E2-A56Z-01	Primary Tumor	0.1788	0.4959	0.1536	0.1011	-1.539	0.1951	-0.0157	-0.1578	2.456	-0.4826	-0.4831	10.59	0.5534	-0.2457
TCGA-S3-AA14-01	TCGA-S3-AA14-01	Primary Tumor	0.1777	-0.4159	0.1112	-0.2002	-1.925	-2.165	0.598	0.1513	2.462	0.4406	-0.4768	10.22	0.1052	0.2846
TCGA-3C-AALK-01	TCGA-3C-AALK-01	Primary Tumor	0.1765	-0.9146	0.8358	0.5432	-1.986	0.1409	0.0842	-0.1709	1.906	0.279	-0.1515	10.74	-0.2024	-0.641
TCGA-A2-A25E-01	TCGA-A2-A25E-01	Primary Tumor	0.1748	1.791	0.4487	0.1164	0.09824	-2.859	0.0806	-1.134	3.517	-0.9327	-0.405	8.341	1.123	0.5255
TCGA-D8-A1JP-01	TCGA-D8-A1JP-01	Primary Tumor	0.1697	1.109	0.2163	-0.2118	-1.729	5.087	-0.0683	-0.434	1.097	0.3455	0.2668	10.07	0.4667	0.009962
TCGA-AR-A1AO-01	TCGA-AR-A1AO-01	Primary Tumor	0.1688	-0.267	-0.2258	-0.05695	0.1355	-0.04981	0.5023	-0.2684	1.647	-0.2979	0.4557	9.466	-0.04138	-0.2311
TCGA-AO-A0JG-01	TCGA-AO-A0JG-01	Primary Tumor	0.1684	-1.354	-0.06124	-1.086	-0.6387	-1.468	0.354	-0.6587	2.629	-0.3186	-0.07215	9.735	0.8483	0.6028
TCGA-D8-A1JB-01	TCGA-D8-A1JB-01	Primary Tumor	0.1658	0.2283	-0.01194	-0.9165	-2.571	-2.023	0.315	-0.5791	2.404	-0.242	0.8323	9.072	0.21	0.4383
TCGA-OL-A6VQ-01	TCGA-OL-A6VQ-01	Primary Tumor	0.1651	-0.3522	0.08726	-0.6143	-1.506	-0.92	0.5681	-0.03462	-1.026	0.5074	0.03155	10.4	-0.4002	0.3043
TCGA-BH-A0DX-01	TCGA-BH-A0DX-01	Primary Tumor	0.1639	-0.5731	0.04486	-0.4329	-1.546	3.576	0.748	-0.4424	3.755	0.08354	0.2455	10.31	-0.5235	-0.2916
TCGA-OL-A66N-01	TCGA-OL-A66N-01	Primary Tumor	0.1604	-1.236	-0.4007	1.078	-1.994	0.6985	-0.945	-0.05362	-2.357	-0.4141	-1.695	10.73	-0.4521	-1.281
TCGA-AR-A24O-01	TCGA-AR-A24O-01	Primary Tumor	0.16	0.9412	-0.2262	-0.7664	0.2578	-0.8172	1.255	-0.5115	-0.6042	-0.2797	1.032	9.258	0.6644	0.9847
TCGA-BH-A0W3-01	TCGA-BH-A0W3-01	Primary Tumor	0.1592	1.651	0.2078	-1.396	-0.5039	-3.254	1.262	0.002982	1.956	0.3494	0.4508	10.12	-0.4124	0.983
TCGA-BH-A0BS-01	TCGA-BH-A0BS-01	Primary Tumor	0.1469	0.5336	-0.5827	-1.281	-1.668	-3.254	1.321	-0.6861	2.806	-0.4322	1.038	8.887	0.2768	0.598
TCGA-E2-A1IJ-01	TCGA-E2-A1IJ-01	Primary Tumor	0.1466	0.006215	-0.4393	-0.5696	-2.231	2.671	0.2193	0.07038	-1.56	0.2168	0.2295	10.14	0.1576	0.4627
TCGA-3C-AAAU-01	TCGA-3C-AAAU-01	Primary Tumor	0.1428	1.566	0.08116	-0.6758	-2.38	-2.497	0.3125	0.1011	2.781	0.7501	-1.161	10.64	0.3719	0.7496
TCGA-A2-A0EP-01	TCGA-A2-A0EP-01	Primary Tumor	0.1409	-0.4649	0.1726	0.3244	-0.7669	3.545	0.1687	-0.03112	-3.537	0.3337	-0.08325	10.54	-0.1869	-0.6671
TCGA-OL-A97C-01	TCGA-OL-A97C-01	Primary Tumor	0.14	-0.4946	-0.3005	0.02895	-1.495	3.977	-0.179	-0.02722	2.198	0.5003	-0.4667	10.68	0.01182	0.4094
TCGA-BH-A0BO-01	TCGA-BH-A0BO-01	Primary Tumor	0.1398	-0.408	0.2774	0.4127	-1.948	0.1722	0.784	-0.3176	1.679	0.07514	0.2004	9.483	0.1697	0.423
TCGA-AO-A126-01	TCGA-AO-A126-01	Primary Tumor	0.1373	-0.7947	-0.3205	0.5158	-0.5869	1.006	-0.8115	-0.4572	1.76	-0.05286	-1.023	10.3	-0.2902	-0.1123
TCGA-BH-A0HN-01	TCGA-BH-A0HN-01	Primary Tumor	0.1348	-1.094	-0.4096	-0.6266	-0.9244	-1.95	-0.0684	0.3952	1.733	0.03334	-0.2477	10.29	-0.1489	-0.515
TCGA-OL-A5RU-01	TCGA-OL-A5RU-01	Primary Tumor	0.1313	-0.7264	0.01196	0.124	-1.79	-0.9644	0.1802	0.1138	2.838	0.4249	-0.5109	10.55	-0.1983	-0.5179
